"provincia","seccion","hoja","n_esperados","n_presentes","n_faltantes","n_ajenos","faltantes","ajenos"
"De la Paz","05_Economia","ecv_pobreza",5,5,0,0,"",""
"De la Paz","05_Economia","ecv_ipm",5,5,0,0,"",""
"De la Paz","05_Economia","ecv_gini",5,5,0,0,"",""
"De la Paz","05_Economia","ecv_ocupacion_informal",5,5,0,0,"",""
"De la Paz","05_Economia","ecv_desocupacion_nini",5,5,0,0,"",""
"De la Paz","05_Economia","turismo_instrumentos",5,5,0,0,"",""
"De la Paz","05_Economia","dependencia_economica",5,5,0,0,"",""
"De la Paz","05_Economia","densidad_empresarial",5,5,0,0,"",""
"De la Paz","05_Economia","valor_agregado",5,5,0,0,"",""
"De la Paz","05_Economia","va_actividades",5,5,0,0,"",""
"De la Paz","05_Economia","energia_centrales",5,2,3,0,"5055 5400 5483",""
"De la Paz","05_Economia","_mapa05_va_percapita",5,5,0,0,"",""
"De la Paz","06_Desarrollo_Rural","inventario_pecuario",5,5,0,0,"",""
"De la Paz","06_Desarrollo_Rural","participacion_municipal",5,5,0,0,"",""
"De la Paz","06_Desarrollo_Rural","composicion_especies",5,5,0,0,"",""
"De la Paz","06_Desarrollo_Rural","area_km2",5,5,0,0,"",""
"De la Paz","06_Desarrollo_Rural","composicion_agricola",5,5,0,0,"",""
"De la Paz","06_Desarrollo_Rural","rendimiento",5,5,0,0,"",""
"De la Paz","07_Ambiental","detalle",5,5,0,0,"",""
"De la Paz","07_Ambiental","irca",5,5,0,0,"",""
"De la Paz","07_Ambiental","eventos_tipo",5,5,0,0,"",""
"De la Paz","07_Ambiental","eventos_año",5,5,0,0,"",""
"De la Paz","07_Ambiental","desastres_selectos",5,5,0,0,"",""
"De la Paz","07_Ambiental","imrc",5,5,0,0,"",""
"De la Paz","07_Ambiental","perdida_cobertura",5,5,0,0,"",""
"De la Paz","07_Ambiental","_mapa07_perdida_cobertura",5,5,0,0,"",""
"De la Paz","08_Educacion","educacion",5,5,0,0,"",""
"De la Paz","08_Educacion","_mapa08_cobertura_neta",5,5,0,0,"",""
"De la Paz","09_Salud","bajo_peso",5,5,0,0,"",""
"De la Paz","09_Salud","enfermedades_tropicales",5,5,0,0,"",""
"De la Paz","09_Salud","suicidios",5,5,0,0,"",""
"De la Paz","09_Salud","aseguramiento_sgsss",5,5,0,0,"",""
"De la Paz","09_Salud","mortalidad_infantil",5,5,0,0,"",""
"De la Paz","09_Salud","_mapa09_mortalidad_infantil",5,5,0,0,"",""
"De la Paz","10_Seguridad","coca",5,1,4,0,"5002 5055 5400 5483",""
"De la Paz","10_Seguridad","evoa",5,2,3,0,"5002 5400 5483",""
"De la Paz","10_Seguridad","delitos",5,5,0,0,"",""
"De la Paz","10_Seguridad","total_victimas",5,5,0,0,"",""
"De la Paz","10_Seguridad","srtdaf",5,5,0,0,"",""
"De la Paz","10_Seguridad","tasas",5,5,0,0,"",""
"De la Paz","10_Seguridad","irv",5,5,0,0,"",""
"De la Paz","10_Seguridad","desaparecidos",5,5,0,0,"",""
"De la Paz","10_Seguridad","_mapa10_homicidios",5,5,0,0,"",""
"San Juan","01_Generalidades","distribucion_territorial",6,6,0,0,"",""
"San Juan","01_Generalidades","_mapa01_area",6,6,0,0,"",""
"San Juan","02_Demografia","poblacion",6,6,0,0,"",""
"San Juan","02_Demografia","estructura_edad",6,6,0,0,"",""
"San Juan","02_Demografia","natalidad_mortalidad",6,6,0,0,"",""
"San Juan","02_Demografia","migracion",6,6,0,0,"",""
"San Juan","02_Demografia","_mapa02_densidad",6,6,0,0,"",""
"San Juan","03_Ordenamiento","deficit_vivienda",6,6,0,0,"",""
"San Juan","03_Ordenamiento","servicios_publicos",6,6,0,0,"",""
"San Juan","03_Ordenamiento","vias_area",6,6,0,0,"",""
"San Juan","03_Ordenamiento","vias_habitantes",6,6,0,0,"",""
"San Juan","03_Ordenamiento","catastro",6,6,0,0,"",""
"San Juan","03_Ordenamiento","imca",6,6,0,0,"",""
"San Juan","03_Ordenamiento","gobierno_digital",6,6,0,0,"",""
"San Juan","03_Ordenamiento","tti_edsup",6,6,0,0,"",""
"San Juan","03_Ordenamiento","internet_2025",6,6,0,0,"",""
"San Juan","03_Ordenamiento","uso_suelo_rural",6,6,0,0,"",""
"San Juan","03_Ordenamiento","_mapa03_deficit_vivienda",6,6,0,0,"",""
"San Juan","04_Gobernabilidad","mdm",6,6,0,0,"",""
"San Juan","04_Gobernabilidad","idf",6,6,0,0,"",""
"San Juan","04_Gobernabilidad","ley617",6,6,0,0,"",""
"San Juan","04_Gobernabilidad","icm",6,6,0,0,"",""
"San Juan","05_Economia","extranjeros_municipio",6,6,0,0,"",""
"San Juan","05_Economia","ecv_pobreza",6,6,0,0,"",""
"San Juan","05_Economia","ecv_ipm",6,6,0,0,"",""
"San Juan","05_Economia","ecv_gini",6,6,0,0,"",""
"San Juan","05_Economia","ecv_ocupacion_informal",6,6,0,0,"",""
"San Juan","05_Economia","ecv_desocupacion_nini",6,6,0,0,"",""
"San Juan","05_Economia","turismo_instrumentos",6,6,0,0,"",""
"San Juan","05_Economia","dependencia_economica",6,6,0,0,"",""
"San Juan","05_Economia","densidad_empresarial",6,6,0,0,"",""
"San Juan","05_Economia","valor_agregado",6,6,0,0,"",""
"San Juan","05_Economia","va_actividades",6,6,0,0,"",""
"San Juan","05_Economia","energia_centrales",6,3,3,0,"5091 5353 5364",""
"San Juan","05_Economia","_mapa05_va_percapita",6,6,0,0,"",""
"San Juan","06_Desarrollo_Rural","inventario_pecuario",6,6,0,0,"",""
"San Juan","06_Desarrollo_Rural","participacion_municipal",6,6,0,0,"",""
